ID,Depression,Alcohol,Suicide,Drugs
02V56KMO,0,1,0,0
03BMGTOK,0,0,0,1
03LZVFM6,1,0,0,0
0EPULUM5,0,0,1,0
0GM4C5GD,0,1,0,0
0IYM8BYT,0,1,0,0
0JFJVD28,1,0,0,0
0OZGUFOF,1,0,0,0
0WP999ZX,0,1,0,0
0ZA45Y5F,0,1,0,0
13V2N1XF,1,0,0,0
16THDEEP,0,1,0,0
1AU3C3HI,1,0,0,0
1D7TE9IY,1,0,0,0
1MHNW745,0,1,0,0
1TZY1GIP,1,0,0,0
1ZTKVYXC,1,0,0,0
22L09P4C,1,0,0,0
23C43VXB,1,0,0,0
255YNCPV,0,0,1,0
25NGSGR3,1,0,0,0
289054IS,1,0,0,0
28AM1F1Y,0,1,0,0
2EC4OIPR,0,1,0,0
2FCIOIC1,0,0,1,0
2L8WA7A4,1,0,0,0
2Q7GS1WB,1,0,0,0
2SFRZEYJ,0,1,0,0
2ZODHMOB,1,0,0,0
30F40YH4,0,0,1,0
36UOSKA4,0,0,0,1
370FVIAF,1,0,0,0
3B7S1S6B,1,0,0,0
3H1OFXL7,1,0,0,0
3NMNSYA4,1,0,0,0
3PLATXLT,0,0,0,1
3SS0AHGQ,1,0,0,0
427XJQBB,0,0,1,0
44XZ10QC,1,0,0,0
4DL9UOQL,0,0,0,1
57VMVY5S,0,0,0,1
5AP5IX9B,0,0,1,0
5G7R1F52,1,0,0,0
5JK5HYM9,0,1,0,0
5NEYXWJK,1,0,0,0
62MJYMB4,1,0,0,0
64MWIS95,0,0,0,1
6HICH3FC,1,0,0,0
6JTLBUO2,0,0,0,1
6LTXVB46,1,0,0,0
6O5GQX0Z,0,0,1,0
6T33I7B8,1,0,0,0
6TSGOG4R,1,0,0,0
6UFUYHR7,1,0,0,0
6V2783JI,1,0,0,0
6X7DK2U3,1,0,0,0
728CHZ04,1,0,0,0
72NC368J,0,0,0,1
74N1XY6J,1,0,0,0
7BRH6PT9,0,1,0,0
7BURQ08H,1,0,0,0
7CGD8W08,0,1,0,0
7ERDSQ4Q,0,0,0,1
7GV9GMHR,0,0,1,0
7HYJWJTB,0,1,0,0
